filename,start_date,end_date,date_diff
21000569.nc,2001-01-01,2015-12-31,5477
21000572.nc,2001-01-01,2022-12-31,8034
21000577.nc,2001-01-01,2012-12-31,4382
21000587.nc,2018-01-01,2022-12-31,1825
21000591.nc,2017-01-01,2022-12-31,2190
21000643.nc,2017-01-01,2022-12-31,2190
21000647.nc,2001-01-01,2019-01-22,6595
21000648.nc,2005-01-01,2022-12-31,6573
21000665.nc,2001-01-01,2022-12-31,8034
21000666.nc,2005-01-01,2022-12-31,6573
21000672.nc,2017-12-01,2019-02-06,432
21000712.nc,2001-01-01,2022-12-31,8034
21000745.nc,2001-01-01,2022-12-31,8034
21000752.nc,2001-01-01,2022-12-31,8034
21000759.nc,2001-01-01,2022-12-31,8034
21000760.nc,2014-01-01,2014-12-31,364
21000780.nc,2019-12-21,2021-12-31,741
21000782.nc,2019-12-05,2021-12-31,757
21000783.nc,2019-12-05,2021-12-31,757
21000786.nc,2001-01-01,2022-12-31,8034
21000788.nc,2019-12-11,2021-12-31,751
21000790.nc,2001-01-01,2021-12-31,7669
21000791.nc,2018-12-22,2020-12-31,740
21000793.nc,2018-12-22,2020-12-31,740
21000794.nc,2001-01-01,2022-12-31,8034
21000799.nc,2018-12-22,2020-12-31,740
21000800.nc,2015-01-27,2022-12-31,2895
21000803.nc,2001-01-01,2022-12-31,8034
21000806.nc,2017-01-01,2022-12-31,2190
21000807.nc,2007-01-01,2014-12-31,2921
21000859.nc,2013-01-01,2019-05-26,2336
21000861.nc,2001-01-01,2018-01-01,6209
21000863.nc,2013-01-01,2019-05-01,2311
21000872.nc,2001-01-01,2022-12-31,8034
21000873.nc,2001-01-01,2022-12-31,8034
21000923.nc,2017-01-01,2022-12-31,2190
21001151.nc,2015-01-01,2015-12-31,364
21001449.nc,2017-01-01,2019-12-31,1094
21001659.nc,2017-01-01,2021-12-31,1825
21001663.nc,2001-01-01,2022-12-31,8034
21002451.nc,2017-01-01,2017-12-31,364
21002628.nc,2017-01-01,2017-12-31,364
21006035.nc,2001-01-01,2012-12-31,4382
21006036.nc,2001-01-01,2017-12-31,6208
21006037.nc,2001-01-01,2016-12-31,5843
21006038.nc,2001-01-01,2016-12-31,5843
21006071.nc,2018-01-01,2018-12-31,364
21006072.nc,2018-01-01,2018-12-31,364
21006206.nc,2014-01-01,2014-12-31,364
21006372.nc,2015-01-01,2015-12-31,364
21006375.nc,2015-01-01,2015-12-31,364
21006462.nc,2016-01-01,2016-12-31,365
21006467.nc,2015-12-02,2018-05-25,905
21006549.nc,2017-01-01,2022-12-31,2190
21006597.nc,2018-01-01,2019-03-12,435
22000043.nc,2001-01-01,2022-12-31,8034
22000046.nc,2017-01-01,2022-12-31,2190
22000047.nc,2001-01-01,2021-01-06,7310
22000048.nc,2001-01-01,2022-12-31,8034
22000050.nc,2001-01-01,2022-12-31,8034
22000053.nc,2001-01-01,2022-12-31,8034
22000054.nc,2016-12-21,2022-12-31,2201
22000057.nc,2016-12-01,2022-12-31,2221
22000062.nc,2001-01-01,2022-12-31,8034
22000158.nc,2016-12-23,2021-12-31,1834
22000194.nc,2017-01-01,2022-12-31,2190
22000225.nc,2004-04-15,2022-12-31,6834
22000234.nc,2001-01-01,2022-12-31,8034
22000336.nc,2007-01-01,2022-12-31,5843
22000419.nc,2018-01-01,2022-12-31,1825
22000640.nc,2017-01-01,2022-12-31,2190
22001540.nc,2017-01-01,2022-12-31,2190
22001541.nc,2017-01-01,2022-12-31,2190
22001542.nc,2016-12-31,2022-12-31,2191
23000002.nc,2015-01-01,2022-12-31,2921
23000079.nc,2015-01-01,2015-12-31,364
23000083.nc,2003-10-21,2022-12-31,7011
23000087.nc,2001-01-01,2022-12-31,8034
23000173.nc,2003-10-21,2018-01-01,5186
23000587.nc,2018-01-01,2022-12-31,1825
23000994.nc,2017-01-01,2021-12-31,1825
24000034.nc,2016-01-01,2016-12-31,365
24000050.nc,2012-01-01,2022-12-31,4017
24000061.nc,2001-01-01,2021-12-31,7669
24000148.nc,2016-01-01,2016-12-31,365
24000149.nc,2016-01-01,2016-12-31,365
25000018.nc,2001-01-01,2022-12-31,8034
25000019.nc,2017-01-01,2022-12-31,2190
25000020.nc,2001-01-01,2022-12-31,8034
25000021.nc,2001-01-01,2022-12-31,8034
25000075.nc,2001-01-01,2022-12-31,8034
25000078.nc,2001-01-01,2022-12-31,8034
25000082.nc,2001-01-01,2022-12-31,8034
25000085.nc,2001-01-01,2022-12-31,8034
25000086.nc,2001-01-01,2022-12-31,8034
25000087.nc,2016-12-23,2021-12-31,1834
25000091.nc,2001-01-01,2022-12-31,8034
25000097.nc,2001-01-01,2022-12-31,8034
25000275.nc,2016-12-22,2022-12-31,2200
25000362.nc,2016-12-31,2021-12-31,1826
25000483.nc,2016-12-31,2022-12-31,2191
25000592.nc,2005-01-01,2016-12-31,4382
25000629.nc,2016-12-31,2022-12-31,2191
25000639.nc,2017-01-02,2022-12-31,2189
25000642.nc,2014-02-22,2018-01-14,1422
25000673.nc,2007-01-01,2007-12-31,364
25000707.nc,2011-01-20,2019-12-31,3267
25000716.nc,2014-02-02,2022-12-31,3254
25000733.nc,2001-11-30,2022-12-31,7701
25001085.nc,2016-01-01,2016-12-31,365
25001107.nc,2014-12-19,2016-01-19,396
25001149.nc,2013-01-01,2013-12-31,364
25001614.nc,2017-01-01,2022-12-31,2190
25003189.nc,2007-01-01,2012-12-31,2191
25003217.nc,2010-03-30,2011-09-15,534
25003595.nc,2017-01-01,2022-12-31,2190
25003596.nc,2017-11-18,2019-12-31,773
25003597.nc,2017-01-01,2022-12-31,2190
25003599.nc,2016-12-31,2021-12-31,1826
26000037.nc,2001-01-01,2015-12-31,5477
26000080.nc,2001-01-01,2022-12-31,8034
26000082.nc,2001-01-01,2022-12-31,8034
26000084.nc,2006-01-01,2013-12-31,2921
26000096.nc,2001-01-01,2022-12-31,8034
26000103.nc,2015-01-01,2015-12-31,364
26000111.nc,2001-01-01,2015-12-31,5477
26000114.nc,2015-01-01,2015-12-31,364
26000151.nc,2014-01-01,2014-12-31,364
26000170.nc,2001-01-01,2015-12-31,5477
27000002.nc,2001-01-01,2022-12-31,8034
27000003.nc,2001-01-01,2022-12-31,8034
27000004.nc,2001-01-01,2022-12-31,8034
27000021.nc,2001-01-01,2021-12-31,7669
27000035.nc,2011-03-02,2022-12-31,4322
27000045.nc,2001-01-01,2022-12-31,8034
27000055.nc,2016-12-21,2022-12-31,2201
27000615.nc,2016-12-21,2022-12-31,2201
27000638.nc,2016-12-17,2022-12-31,2205
27000671.nc,2016-12-17,2022-12-31,2205
27000975.nc,2016-12-24,2021-12-31,1833
28000001.nc,2001-01-01,2022-12-31,8034
28000051.nc,2018-01-01,2022-12-31,1825
29000009.nc,2001-01-01,2022-12-31,8034
29000232.nc,2016-12-21,2022-12-31,2201
29000535.nc,2016-12-21,2022-12-31,2201
